millis,A0,A1,A2,B0,B1,B2
5410,-164.2709,3.6325176,5.85456,5.2238693,6.354515,-73.85795
5420,-164.2709,3.6325176,5.85456,6.2135715,7.668553,-74.1376
5430,-164.27122,3.6463387,5.8564506,7.00621,8.664286,-74.387
5440,-164.27863,3.630923,5.868222,7.5425887,9.255476,-74.78485
5450,-164.28592,3.6234086,5.874024,7.939824,9.634525,-75.39047
5460,-164.28592,3.6234086,5.874024,8.3502,9.976627,-76.17061
5470,-164.28601,3.6155083,5.8799963,8.732577,10.149244,-77.12282
5480,-164.29315,3.6010845,5.8848557,8.901358,9.969355,-78.187
5490,-164.3007,3.592583,5.897577,8.945902,9.608838,-79.23002
5500,-164.30113,3.598506,5.9054384,9.2166,9.500661,-79.937
5510,-164.29375,3.6139174,5.893661,9.818855,9.846801,-79.95511
5521,-164.27914,3.6289432,5.882056,10.626901,10.464833,-79.345695
5531,-164.27191,3.6512687,5.8712287,11.740218,11.013897,-78.322014
5543,-164.26451,3.6666842,5.859459,13.0286,10.967634,-76.71069
5550,-164.25061,3.6976922,5.836308,14.496301,10.720103,-73.63499
5560,-164.24974,3.70857,5.8095865,15.8445,11.067398,-69.06872
5571,-164.25627,3.7077882,5.815944,16.77919,12.092685,-63.252796
5580,-164.25642,3.7146986,5.8168893,17.032785,13.104343,-56.5925
5591,-164.25726,3.7227755,5.8113008,16.378296,13.2491045,-49.501186
5601,-164.24983,3.7381964,5.7995367,15.12036,12.529691,-41.8284
5611,-164.25,3.7451072,5.8004823,13.165242,11.509556,-33.79927
5621,-164.2639,3.714091,5.8236294,11.181897,11.43317,-26.09158
5632,-164.26363,3.715082,5.816713,8.721468,12.770055,-18.124899
5645,-164.2494,3.7322779,5.7916737,7.164036,15.0542755,-10.372357
5651,-164.22635,3.7439992,5.7516537,6.4299574,16.148262,-1.4985657
5660,-164.2498,3.6908987,5.686332,5.813958,15.411712,7.878127
5672,-164.25592,3.5451317,5.722569,5.629707,14.65183,16.533295
5681,-164.27513,3.4384708,5.7351775,6.982974,14.480992,23.778515
