millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
11635,-137.54707,-23.41181,-17.548391,-110.67756,-48.81644,-32.07745,-90.998665,48.256504,-3.4544523,-87.763306,-8.562699,0.60272324
11646,-137.59001,-23.415247,-17.54664,-111.76298,-47.61951,-32.390545,-90.99861,48.249897,-3.452034,-87.754074,-8.547461,0.5977148
11657,-137.64435,-23.41415,-17.541859,-112.50753,-46.52631,-32.673676,-90.99861,48.249897,-3.452034,-87.744644,-8.537636,0.5971843
11666,-137.68729,-23.41759,-17.540108,-112.91027,-45.545555,-32.943874,-91.002266,48.242996,-3.4586291,-87.73542,-8.527426,0.5970054
11675,-137.7302,-23.421028,-17.538357,-113.07226,-44.763535,-33.130955,-91.002304,48.23864,-3.4542763,-87.73586,-8.517952,0.5968636
11686,-137.7837,-23.423225,-17.542006,-113.15844,-44.22796,-33.205444,-91.00595,48.231735,-3.4608731,-87.72663,-8.50774,0.59668654
11696,-137.82661,-23.426664,-17.540253,-113.15869,-43.923153,-33.1978,-91.00599,48.227375,-3.4565206,-87.726425,-8.508126,0.59633726
11705,-137.86952,-23.430101,-17.538488,-113.043144,-43.818874,-33.16605,-91.01517,48.229164,-3.4586408,-87.71657,-8.507778,0.595952
11716,-137.92152,-23.43513,-17.535664,-112.60409,-43.80902,-33.180393,-91.01509,48.226913,-3.4605734,-87.715706,-8.507969,0.5857414
11725,-137.96664,-23.432425,-17.531942,-111.82148,-43.79457,-33.239624,-91.01513,48.222557,-3.4562192,-87.7052,-8.517481,0.58514625
11735,-138.01863,-23.437449,-17.529116,-110.80397,-43.74953,-33.30553,-91.01504,48.220314,-3.4581501,-87.705,-8.517866,0.58479595
11746,-138.06224,-23.437561,-17.518927,-109.55627,-43.72515,-33.34997,-91.01878,48.215652,-3.4628127,-87.69428,-8.522735,0.5790243
11756,-138.11438,-23.43558,-17.512688,-108.119156,-43.71115,-33.359646,-91.02791,48.21083,-3.462511,-87.693634,-8.527568,0.573988
11766,-138.16855,-23.434452,-17.507906,-106.77128,-43.668198,-33.297745,-91.02791,48.21083,-3.462511,-87.68293,-8.537463,0.5730395
11775,-138.22047,-23.439465,-17.505072,-105.70025,-43.6812,-33.163265,-91.02791,48.21083,-3.462511,-87.68227,-8.5422945,0.56800294
11786,-138.26402,-23.43955,-17.494884,-104.80143,-43.75351,-33.037403,-91.02783,48.208588,-3.4644415,-87.682076,-8.542682,0.5676508
11795,-138.30684,-23.442966,-17.49311,-104.01845,-43.74608,-33.01162,-91.02787,48.20423,-3.4600878,-87.6722,-8.54233,0.5672655
11805,-138.35873,-23.44797,-17.490269,-103.250336,-43.5637,-33.134674,-91.03152,48.19732,-3.46668,-87.67198,-8.537685,0.5620893
11815,-138.40005,-23.454187,-17.48202,-102.57247,-43.23985,-33.37157,-91.04073,48.19475,-3.4644456,-87.66211,-8.532303,0.5568809
11825,-138.44505,-23.45145,-17.478304,-102.05364,-42.839626,-33.662254,-91.04439,48.18784,-3.4710362,-87.65268,-8.522476,0.5563589
11835,-138.49489,-23.455585,-17.474,-101.76779,-42.389935,-33.96909,-91.04816,48.178825,-3.4713428,-87.65267,-8.517446,0.55153567
11845,-138.53766,-23.458996,-17.47222,-101.59835,-41.876736,-34.286263,-91.051834,48.16756,-3.473578,-87.64389,-8.502785,0.5560538
11855,-138.59021,-23.460625,-17.46096,-101.53608,-41.279987,-34.601273,-91.04256,48.163536,-3.4733858,-87.63465,-8.487543,0.55106413
11869,-138.63295,-23.46403,-17.459173,-101.67416,-40.640923,-34.89437,-91.05552,48.156292,-3.4758127,-87.63526,-8.4726515,0.5464571
11875,-138.68547,-23.465649,-17.44791,-102.0565,-40.007298,-35.17349,-91.05543,48.154053,-3.4777408,-87.62583,-8.462822,0.54594225
11885,-138.7304,-23.462889,-17.444202,-102.47016,-39.32744,-35.522144,-91.05546,48.149693,-3.4733849,-87.62645,-8.447928,0.54133636
11896,-138.7807,-23.470652,-17.43486,-102.90163,-38.54418,-35.965893,-91.05911,48.14278,-3.479972,-87.626434,-8.442895,0.5365138
11905,-138.83263,-23.4686,-17.428627,-103.37966,-37.702225,-36.490074,-91.05914,48.138428,-3.4756143,-87.61702,-8.438098,0.54082423
11916,-138.87384,-23.474766,-17.420353,-103.99754,-36.857582,-37.067608,-91.05914,48.138428,-3.4756143,-87.61637,-8.442927,0.5357849
11925,-138.92776,-23.473572,-17.415571,-104.72495,-36.05856,-37.69428,-91.068245,48.137966,-3.47966,-87.61637,-8.442927,0.5357849
11935,-138.97112,-23.473568,-17.405384,-105.65789,-35.320747,-38.37706,-91.068245,48.137966,-3.47966,-87.60565,-8.452821,0.5348379
11945,-139.02284,-23.478527,-17.40251,-106.64165,-34.668797,-39.159687,-91.068245,48.137966,-3.47966,-87.604805,-8.463062,0.5342695
11955,-139.06618,-23.47851,-17.39232,-107.43391,-34.08944,-40.03365,-91.06815,48.135715,-3.4815876,-87.594315,-8.472574,0.5336701
11967,-139.111,-23.47572,-17.388622,-108.0898,-33.60114,-40.924187,-91.077385,48.13314,-3.4793494,-87.594124,-8.477989,0.53814036
