millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2
3707,-9.224635,3.5562277,5.687739,-46.079323,13.252564,-24.851315,148.3177,36.101463,2.2520041,165.38347,15.737931,-37.274853,90.07168,79.02634,8.678593,88.382126,81.09606,3.577473,-82.00004,-34.756195,35.45948,-79.87833,-59.769505,7.1032743,-113.924286,-73.483,4.705129,-84.88027,-69.12243,2.1985874
3729,-9.224635,3.5562277,5.687739,-45.849003,13.559159,-25.263626,148.27786,36.153416,2.2487833,165.29353,15.961357,-37.374912,90.044044,79.02625,8.669974,88.3607,81.09389,3.5744028,-81.95779,-34.76668,35.46866,-79.897,-59.776707,7.1024966,-113.92285,-73.487625,4.709245,-84.84226,-69.125374,2.1956007
3786,-9.341437,3.5272632,5.6868014,-48.826004,19.452055,-35.732796,148.21362,36.1236,2.220429,164.50687,16.068567,-37.632435,89.98419,79.016975,8.663112,88.28488,81.091705,3.5613453,-80.781296,-34.753822,35.473377,-79.911964,-59.777206,7.091136,-113.90657,-73.48303,4.7094374,-84.745605,-69.1253,2.195249
3809,-9.348311,3.527593,5.6865573,-48.63968,19.68958,-35.517696,148.18718,36.13129,2.2120376,164.07993,15.954776,-37.69592,89.96393,79.00722,8.664588,88.2628,81.0932,3.5543535,-80.713974,-34.746765,35.465397,-79.92202,-59.77355,7.0907836,-113.89979,-73.487305,4.7042503,-84.711975,-69.12185,2.200197
3831,-9.348311,3.527593,5.6865573,-48.808598,20.030798,-34.972736,148.16278,36.137558,2.1971893,163.64607,15.852919,-37.75649,89.95564,79.005455,8.664292,88.24541,81.093994,3.5544674,-80.65981,-34.746773,35.460968,-79.92875,-59.78106,7.085071,-113.88183,-73.48782,4.7013464,-84.68712,-69.11961,2.2010894
3851,-9.355251,3.5284617,5.693272,-49.28974,20.329542,-34.21776,148.1333,36.137012,2.1817904,163.22711,15.827657,-37.82238,89.94362,79.004,8.663199,88.218376,81.099525,3.542766,-80.595856,-34.75935,35.470245,-79.94708,-59.78367,7.0814724,-113.87575,-73.48277,4.700376,-84.658554,-69.12281,2.2036521
3872,-9.34802,3.5211706,5.694098,-50.043858,20.683344,-33.47097,148.10608,36.126286,2.1824863,162.82925,15.835716,-37.93488,89.95479,79.00063,8.671211,88.191216,81.10505,3.5310607,-80.55618,-34.75913,35.4687,-79.95119,-59.795067,7.070431,-113.87209,-73.47731,4.694175,-84.62874,-69.11127,2.2101345
3895,-9.348378,3.5281317,5.693516,-50.942757,21.132843,-32.897472,148.0693,36.135048,2.1784027,162.44864,15.898334,-38.117245,89.93444,78.983894,8.682566,88.16402,81.113914,3.5217469,-80.52307,-34.753994,35.465412,-79.95761,-59.79797,7.0618925,-113.87479,-73.476425,4.696155,-84.594505,-69.103424,2.2118704
3916,-9.341504,3.5278018,5.6937585,-51.860886,21.446032,-32.69116,148.0254,36.138397,2.1802247,162.0517,16.037535,-38.333298,89.95765,78.98199,8.691667,88.15246,81.11777,3.523408,-80.49283,-34.76457,35.447598,-79.962715,-59.80673,7.053721,-113.85683,-73.47693,4.693253,-84.565445,-69.11371,2.2144654
3938,-9.348378,3.5281317,5.693516,-53.05738,21.502207,-33.034134,147.99312,36.12085,2.1803887,161.61372,16.190073,-38.568676,89.96509,78.98341,8.694629,88.12994,81.1189,3.522747,-80.41688,-34.76277,35.452686,-79.986496,-59.80614,7.063609,-113.84763,-73.481606,4.6932964,-84.536095,-69.1196,2.2138233
