millis,A,B,C,D,E,F,G,H,I,J,K,L
8919,137.74025,143.69337,103.68469,115.64098,164.37955,146.67624,20.257,77.43511,133.31802,122.58147,92.56262,
8961,148.59167,144.85132,102.97135,115.004715,164.8228,146.05121,20.566797,77.84386,134.70432,123.58458,92.9519,
8983,150.19159,145.62927,102.90032,114.15873,165.02339,145.60884,20.847929,78.10044,136.3611,124.10172,93.16159,
9004,151.7157,146.42253,102.806114,112.34588,165.26167,145.12234,20.920519,78.32152,139.19562,124.59955,93.42687,
9035,153.20906,147.09941,102.492905,110.61477,165.50233,144.63142,20.885035,78.62922,141.66919,125.0756,93.763756,
9069,156.80301,149.85837,102.1905,107.186066,165.49802,143.59952,21.88565,78.36882,145.938,129.58075,94.67767,
9089,158.9977,151.62833,102.305855,106.92758,165.52415,143.13396,22.913305,78.05594,146.76262,129.9538,95.28309,
9110,161.4322,153.2331,102.396385,108.89758,164.8548,142.64189,23.963614,77.96865,146.81816,130.22986,95.92551,
9132,164.19789,154.76158,102.39658,112.772896,162.72908,141.90471,25.077814,78.20081,146.5299,130.22282,96.63756,
9152,167.17386,156.39796,102.42209,117.2866,158.71031,140.9559,26.409304,78.29581,146.16695,129.83311,97.528755,
9174,170.14557,157.97226,102.40185,121.04935,153.8749,139.60674,28.099573,77.95131,146.45732,129.23785,98.44609,
9195,172.4131,160.04219,102.19857,124.221146,149.19029,138.12209,29.913935,77.58907,146.85674,128.70148,99.309425,
9218,173.70038,162.22656,101.9411,124.70694,148.549,136.6604,31.510527,77.37149,147.33272,128.2972,99.976776,
9238,174.2369,164.19193,101.6576,122.935974,152.40932,135.46193,32.6212,77.0825,147.77061,127.975975,100.41559,
9260,174.32904,165.78021,101.43539,119.40007,160.25667,134.51598,33.213203,76.082115,148.08267,127.70741,100.34958,
9281,174.06776,166.8342,99.58203,114.82299,168.59718,133.75993,33.762962,76.53125,148.36874,127.51077,99.830826,
9302,173.70714,167.52965,97.7914,111.88526,169.73119,133.25198,34.460186,77.54209,148.49669,127.23025,99.032974,
