millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
9626,123.467186,-26.929918,-19.205019,135.87703,2.0713174,-54.464367,-73.20396,53.893112,-12.438532,-110.16988,-7.5341544,0.6282438
9637,123.30479,-26.944555,-19.251799,135.28581,3.5326555,-52.03705,-73.16612,53.91769,-12.379316,-110.16119,-7.528193,0.6318369
9647,123.12469,-26.965733,-19.2852,132.6537,4.8094964,-48.92642,-73.14276,53.94624,-12.32702,-110.16192,-7.530338,0.62188953
9656,122.93741,-26.989492,-19.316511,127.45861,5.727505,-45.502663,-73.10786,53.968903,-12.278467,-110.15245,-7.5301075,0.62149113
9667,122.74848,-27.0087,-19.342073,124.049576,9.200954,-42.860325,-73.08512,53.993477,-12.231888,-110.144356,-7.530275,0.62086105
9677,122.57564,-27.019741,-19.360504,124.7219,13.110637,-41.75457,-73.06236,54.018017,-12.185306,-110.13703,-7.524714,0.6242246
9687,122.418,-27.027966,-19.382923,124.75339,14.283769,-41.177757,-73.02567,54.043495,-12.123046,-110.13627,-7.530443,0.62023103
9697,122.27608,-27.030676,-19.403831,122.8079,14.486363,-40.04812,-73.0011,54.075394,-12.076062,-110.12679,-7.5302105,0.6198327
9710,122.14528,-27.03465,-19.424932,119.93838,14.195593,-38.40021,-72.99274,54.10391,-12.036402,-110.13716,-7.5207276,0.6185015
9717,122.04476,-27.04104,-19.45041,117.41095,13.864148,-36.695724,-72.985374,54.133343,-12.004738,-110.127686,-7.5204983,0.6181036
9816,121.974014,-27.03697,-19.478418,114.95902,13.9649315,-34.86152,-72.97768,54.157963,-11.970795,-110.127686,-7.5204983,0.6181036
9817,121.93198,-27.033264,-19.510761,112.48235,14.700737,-33.162487,-72.95677,54.179634,-11.926897,-110.11959,-7.5206647,0.6174744
9966,121.9147,-26.46407,-19.978699,69.79436,44.09511,-34.850582,-72.34153,54.686245,-10.829588,-109.99354,-7.4231057,0.65165514
9979,121.82125,-26.457743,-20.004892,67.06601,42.556072,-36.24357,-72.31906,54.710667,-10.790993,-109.98543,-7.4232745,0.6510345
9986,121.73516,-26.430447,-20.03706,64.177124,40.927086,-37.781612,-72.31036,54.72973,-10.754725,-109.9752,-7.4287715,0.6466388
9996,121.64747,-26.416824,-20.076511,61.42933,39.37244,-39.30764,-72.2908,54.747772,-10.724561,-109.97732,-7.423441,0.65041363
10006,121.556694,-26.417444,-20.108412,59.111168,38.109463,-40.58926,-72.2845,54.769104,-10.693336,-109.967964,-7.4192204,0.6443027
10016,121.44425,-26.407377,-20.141808,57.26811,37.093807,-41.54846,-72.276924,54.789238,-10.665077,-109.967964,-7.4192204,0.6443027
10025,121.35146,-26.406136,-20.1736,55.609547,35.61616,-42.27742,-72.26916,54.822857,-10.635748,-109.95038,-7.4191613,0.64328897
10036,121.292366,-26.392984,-20.217272,53.778687,33.016068,-43.144043,-72.263306,54.835537,-10.607911,-109.95038,-7.4191613,0.64328897
10046,121.20404,-26.395458,-20.247158,51.528675,30.02483,-43.92818,-72.255684,54.85563,-10.579651,-109.94227,-7.4193277,0.64266837
10056,121.10898,-26.397669,-20.26961,49.953716,28.193487,-44.34294,-72.23484,54.87244,-10.541478,-109.942154,-7.423323,0.6483847
10066,121.02432,-26.382969,-20.281532,47.87557,25.914679,-45.00942,-72.214836,54.885475,-10.509004,-109.93328,-7.429213,0.64375967
10075,120.97415,-26.363974,-20.29954,45.550076,23.790554,-45.729954,-72.2063,54.90926,-10.475046,-109.92592,-7.423657,0.6471429
10086,120.91915,-26.362387,-20.300587,43.27065,21.986977,-46.530014,-72.1833,54.928543,-10.434132,-109.916565,-7.4194345,0.641034
10097,120.88319,-26.340908,-20.307884,41.304897,20.386444,-47.506268,-72.162384,54.945248,-10.395961,-109.916565,-7.4194345,0.641034
10106,120.84546,-26.317427,-20.315107,39.7077,19.283876,-48.555622,-72.14055,54.965637,-10.352097,-109.91582,-7.4251547,0.6370291
10118,120.82809,-26.299837,-20.315226,38.16385,18.019575,-49.34662,-72.120834,54.983448,-10.321942,-109.908455,-7.419601,0.64041334
10126,120.83269,-26.287716,-20.322985,36.56447,15.998716,-49.618927,-72.11219,55.007126,-10.287987,-109.90769,-7.425321,0.63640785
10138,120.84147,-26.287247,-20.32504,35.016933,13.149532,-49.10023,-72.119736,55.027874,-10.272372,-109.90857,-7.4156036,0.63469803
10146,120.84375,-26.281187,-20.328924,33.673336,9.863317,-47.704773,-72.1144,55.05018,-10.249181,-109.90857,-7.4156036,0.63469803
10156,120.82886,-26.273247,-20.323246,32.633396,6.860867,-45.68384,-72.106606,55.070107,-10.220915,-109.90046,-7.415769,0.63407755
10606,120.81379,-26.270544,-20.308342,31.90887,4.032381,-43.211216,-72.10091,55.08749,-10.195404,-109.890976,-7.415541,0.633685
10607,120.79127,-26.254595,-20.284286,31.52459,1.3180931,-40.609993,-72.07986,55.104023,-10.157239,-109.89235,-7.415935,0.63345706
10618,118.75393,-26.328867,-20.250336,73.06024,21.817074,-18.494062,-71.615654,55.755962,-9.022402,-109.66949,-7.422781,0.6151271
10945,118.75898,-26.327732,-20.27445,74.73598,24.298565,-19.440138,-71.59716,55.76558,-8.99273,-109.65988,-7.42656,0.62044173
10947,118.75326,-26.33007,-20.287146,76.00424,26.333315,-20.3955,-71.57716,55.76904,-8.963571,-109.65988,-7.42656,0.62044173
11106,116.95766,-26.29688,-20.059626,3.9314432,-14.327815,-58.785393,-71.223915,56.217743,-8.097548,-109.38017,-7.3402624,0.6466478
11120,116.92095,-26.299034,-20.068144,2.459397,-16.658806,-58.980034,-71.19518,56.212345,-8.07504,-109.38832,-7.3401,0.6472626
11259,116.79715,-26.298012,-20.06844,-3.7589095,-17.472467,-66.8782,-71.20026,56.23119,-8.051395,-109.35301,-7.339972,0.6452568
11278,115.9503,-26.384357,-20.060509,-12.752438,-20.26926,-68.59362,-71.14125,56.329327,-7.8860316,-109.28429,-7.3461924,0.6367553
11448,115.436386,-26.31975,-20.22206,-16.79418,-19.78672,-70.042496,-71.063736,56.41833,-7.6867614,-109.207985,-7.3508987,0.63736147
11459,115.38408,-26.308826,-20.246168,-17.021759,-19.860214,-69.98802,-71.05921,56.42764,-7.672621,-109.207245,-7.356596,0.6333205
11470,115.3228,-26.295118,-20.26302,-16.87988,-19.990694,-69.82706,-71.058044,56.43113,-7.666976,-109.19848,-7.350672,0.6369733
11621,114.59532,-26.102999,-20.557365,-10.823983,-20.166227,-67.87751,-71.00269,56.509857,-7.508233,-109.14735,-7.356942,0.6294614
11635,114.55922,-26.099688,-20.570038,-11.464258,-20.15161,-68.19377,-70.98484,56.51509,-7.484273,-109.13785,-7.3567147,0.6290735
11787,114.43934,-26.040483,-20.596256,-13.399498,-20.253567,-68.77912,-70.97865,56.52276,-7.4620924,-109.12978,-7.3528385,0.6227689
11789,114.39079,-26.018566,-20.597797,-13.831783,-20.284489,-68.86932,-70.97747,56.526226,-7.456452,-109.12967,-7.356875,0.6284569
