millis,A0,A1,A2,B0,B1,B2
4744,43.037193,24.880102,14.566124,9.9385805,-1.4299505,28.586908
4754,44.5809,27.786999,14.537114,9.801537,2.116131,28.968079
4764,46.41269,30.941553,14.379568,9.722619,5.8666515,29.262053
4774,48.32132,34.017796,14.073585,9.438856,8.982255,29.352657
4785,50.20096,36.948624,13.574377,8.783707,11.939929,29.251036
4794,51.80193,39.98571,12.84719,7.662222,15.282959,29.108145
4804,53.200928,43.36952,11.917099,6.14348,18.81314,28.877678
4814,54.446278,46.721523,10.841266,4.352521,22.15646,28.345358
4824,55.374035,49.815567,9.490749,2.295535,25.395407,27.444782
4837,56.17018,52.809925,7.901073,0.28734297,28.803894,26.211061
4844,57.29946,55.86817,6.269682,-1.864248,32.639923,24.81544
4854,58.636543,59.259705,4.423836,-4.2354355,36.746532,23.19413
4864,60.208946,62.633636,2.459962,-6.6676917,40.817295,21.208776
4874,61.670303,65.55369,0.37700358,-9.169346,44.569885,18.789606
4886,62.580963,67.786674,-1.9810013,-11.780627,47.7686,15.90094
4900,63.084377,69.4093,-4.5905304,-14.168099,50.88345,12.777354
4908,63.72579,70.97255,-7.336136,-17.083872,54.525513,9.714724
4915,65.15385,72.72453,-10.025036,-20.246365,58.44559,6.78578
4924,67.34691,74.11811,-12.204129,-23.504326,62.10637,3.8936288
4934,69.04298,74.15706,-14.418906,-26.663368,64.80322,0.76835936
4945,69.62918,72.73764,-16.864958,-29.399733,66.21975,-2.7669077
4955,69.01254,70.3406,-19.598572,-30.761433,66.04909,-6.606658
4964,67.03631,67.19399,-22.805172,-31.152393,64.514015,-10.711836
4975,64.30887,63.69532,-26.293257,-31.33981,62.17204,-14.9551
4984,61.327015,60.10153,-29.85138,-30.757204,59.541443,-18.997997
4994,58.467415,56.666042,-33.22705,-29.525602,56.81315,-22.802578
5004,55.925903,53.492054,-36.29845,-28.197403,54.379723,-26.228374
5015,53.966953,50.680904,-38.923744,-27.470812,52.529343,-29.016956
5024,52.65779,48.501274,-40.849297,-26.922018,51.027023,-31.193333
5034,51.517693,46.82709,-42.313934,-25.490324,49.61742,-32.851013
5044,50.24657,45.57924,-43.508045,-23.757483,48.035988,-34.079834
5054,48.688297,44.70711,-44.54471,-21.748579,46.281464,-34.7703
5064,46.804802,44.17778,-45.42892,-19.658024,43.986538,-35.041237
5075,44.459793,43.63952,-46.308735,-17.827229,40.73131,-35.118908
5084,41.73921,42.623436,-47.281757,-16.44893,36.394974,-35.161015
5094,38.751064,40.667683,-48.45534,-15.903127,30.884972,-35.28806
5104,35.5737,37.531143,-49.905663,-16.231514,24.904654,-35.212624
5116,32.611057,33.73261,-51.22558,-16.81664,19.208614,-34.712116
5125,30.137806,29.788036,-52.004795,-17.315365,13.7781315,-33.798027
5134,28.1713,25.759897,-52.149033,-17.71554,8.33424,-32.532276
5145,26.633057,21.475523,-51.6682,-18.07604,2.6637373,-30.958426
5154,25.477419,16.867273,-50.53732,-18.375114,-3.028027,-29.065516
5165,24.86168,12.119526,-48.71445,-18.610342,-8.848489,-27.057716
5176,24.630299,6.941804,-46.443817,-19.295961,-15.397533,-24.915699
5185,24.403128,0.9082337,-43.934296,-20.53992,-22.470457,-22.626068
5194,24.260828,-5.665077,-41.13485,-22.124666,-29.296835,-20.217249
5205,24.241325,-12.049056,-37.933434,-23.908403,-35.218052,-17.598322
5215,24.22767,-17.708113,-34.36624,-25.662672,-40.07348,-14.869759
5226,24.223671,-22.30298,-30.707798,-27.222855,-43.921814,-12.042982
5234,23.87881,-25.780378,-26.93334,-28.41521,-46.407875,-9.327987
5246,23.274042,-28.00887,-23.32319,-28.933292,-47.229267,-6.1807656
5254,22.383015,-28.545855,-19.88534,-28.459385,-46.566963,-3.6207979
5264,21.79808,-28.050127,-17.032114,-27.717922,-45.84787,-1.4597917
5275,21.649254,-27.86756,-14.585912,-27.323975,-46.355072,0.25658622
5284,21.986223,-28.855703,-12.435171,-27.388376,-48.124966,1.6987869
5296,22.346197,-30.502045,-10.166389,-27.422857,-50.236843,2.933125
5305,22.877235,-31.71771,-8.114932,-26.239548,-51.177452,4.0305257
5315,23.682884,-31.285265,-6.260739,-22.86401,-49.71184,5.127576
5327,24.57752,-28.86405,-4.4329576,-18.253561,-46.228226,6.738536
5335,25.419159,-25.321678,-2.3421614,-13.757335,-42.187984,9.007661
5344,26.42621,-21.440914,-0.02148647,-9.779985,-38.783096,11.451759
5355,27.881697,-17.356524,2.446396,-6.294195,-36.009277,14.1481495
5364,29.537197,-13.358961,5.2369714,-2.98557,-33.266838,16.80956
5375,31.214874,-9.585725,8.15115,0.41647092,-30.288538,19.064423
5393,32.589634,-5.363832,11.121683,3.7467203,-26.79261,21.164188
5398,33.823036,-0.37662375,13.929989,6.373333,-22.45404,23.319347
5405,34.880493,5.1406183,16.350082,7.5060225,-17.194613,26.166672
5414,35.90109,10.999811,18.307005,7.54092,-11.192006,29.245594
5425,37.29136,17.049862,19.902514,7.0935907,-4.7084036,32.253048
5437,39.034855,23.170883,21.289627,6.380536,1.5428334,35.124172
5446,41.424103,29.180588,22.592102,5.0312443,7.300965,37.919662
5455,44.608353,34.98511,23.845905,3.388597,12.558357,40.28456
5466,48.793873,40.3446,24.941563,1.7024076,17.399622,42.02573
5475,53.513367,45.150253,25.562067,-0.354909,21.757257,43.01355
5485,58.01345,49.19233,25.350464,-3.4917164,26.050615,42.827377
5495,62.514378,53.393917,24.110374,-7.5450597,31.155512,41.470222
5505,68.57459,58.59507,22.081594,-12.491241,37.122726,39.390102
5515,76.41568,64.27736,19.677736,-18.48453,43.33981,36.77531
5526,84.20253,69.936,16.734837,-26.270536,49.67512,33.28833
5535,91.005745,75.52165,13.167545,-35.07369,56.09454,28.905401
5548,96.86544,80.64232,9.2767105,-45.19017,62.793896,23.841272
5556,101.61471,83.772385,5.224231,-55.780624,69.43709,18.393784
5565,104.404594,82.40029,1.1138167,-66.052826,75.82308,12.83722
5575,105.69878,78.12855,-3.0620155,-76.821526,82.03262,7.415589
5585,106.74573,72.6314,-7.000439,-88.703766,87.49225,2.4485896
5595,107.89399,66.92693,-10.158034,-100.51154,85.683655,-1.6977447
5608,108.539604,61.91319,-12.290544,-110.926125,81.53187,-5.154577
5615,107.537285,58.043293,-13.836247,-119.76928,78.13965,-8.46986
5625,104.70189,55.26401,-15.254006,-128.02971,74.86864,-12.12675
5635,100.651054,52.96798,-16.98114,-136.08086,71.72169,-15.714299
5645,96.392006,51.07916,-18.758749,-143.55876,68.99745,-18.833916
5655,92.206665,49.74108,-20.546448,-149.75604,66.86268,-21.506393
5665,87.50203,49.57029,-22.372707,-152.59262,65.30609,-23.917454
5675,81.85122,50.626434,-24.462214,-143.77043,63.48259,-26.426952
5685,75.624794,52.046112,-26.981514,-35.993004,61.08751,-28.752901
5695,69.41314,53.33192,-29.658178,-7.9016423,58.062843,-30.644636
5705,63.67247,54.01205,-32.28663,-4.7151313,54.30778,-32.165035
5715,58.5143,53.897373,-34.752285,-3.3006663,49.995678,-33.12737
5725,54.067875,53.107944,-36.778065,-2.5283935,44.31973,-34.08729
5735,49.67645,50.578835,-39.102787,-2.5465026,37.33528,-35.13211
5746,45.463043,46.09179,-41.76436,-3.303537,29.562746,-36.101078
5756,41.898445,40.366478,-44.20575,-4.2543054,21.473225,-36.73213
5765,39.038555,33.819782,-46.18812,-4.7698293,13.349911,-37.142754
5775,36.88131,26.553684,-47.568546,-5.7444053,4.4912252,-37.229973
5785,35.443436,18.349638,-48.302402,-6.951048,-5.044041,-37.103565
5797,34.927914,9.2124405,-48.295097,-8.565107,-15.024102,-36.66328
5807,35.578175,-0.5945617,-47.482914,-10.910919,-25.192564,-35.861763
5819,37.59234,-10.912857,-45.797096,-14.45785,-35.020157,-34.310944
5826,40.945965,-21.087889,-43.174423,-19.041252,-43.65166,-32.131317
