millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2,H0,H1,H2,I0,I1,I2,J0,J1,J2
4302,140.57375,-21.480507,-42.63373,-49.51272,-56.81942,-31.09304,-93.55778,-86.21527,3.4966311,-57.969704,-44.17604,-2.2146127,-129.50543,1.000558,2.0263057,58.293125,-4.5058045,-1.3536195,97.931274,7.8464956,12.34754,39.137234,-20.66039,-4.260712,-164.2875,53.519726,8.866211,-107.62612,53.581123,3.6001348
4362,131.56644,8.294925,-31.328753,-33.302006,-39.619236,-43.54527,-93.57169,-86.20158,3.507023,-58.03096,-44.24359,-2.2457597,-129.51155,1.0316012,2.0098047,58.283802,-4.41124,-1.36497,97.9128,7.874926,12.312868,39.139088,-20.644012,-4.285857,-164.27893,53.540634,8.899736,-107.613525,53.74092,3.575682
4382,120.88852,21.66781,-26.483507,-29.316616,-33.322933,-47.318306,-93.5726,-86.17564,3.5057702,-58.10412,-44.276814,-2.2361865,-129.51974,1.0533389,1.996783,58.274292,-4.2915635,-1.3783656,97.90098,7.788515,12.278334,39.126076,-20.567156,-4.290604,-164.2773,53.545074,8.916254,-107.60801,53.825623,3.5497649
4442,96.25042,49.89189,-17.393764,-19.758224,-19.223057,-57.490604,-93.57395,-86.13187,3.5040028,-58.18696,-44.323692,-2.2768657,-129.53407,1.1031286,1.9735714,58.276653,-4.1840816,-1.3989321,97.95509,7.6920776,12.213577,39.187958,-20.573383,-4.318703,-164.273,53.5555,8.933017,-107.58354,53.888813,3.5633714
4462,96.28103,50.95312,-15.254833,-18.152214,-17.00048,-58.597195,-93.57374,-86.130196,3.5075223,-58.196182,-44.334694,-2.278892,-129.53381,1.1154193,1.9638981,58.276463,-4.1589622,-1.4009718,97.954865,7.6934686,12.183941,39.19448,-20.598064,-4.334393,-164.2676,53.55706,8.926817,-107.59762,53.90285,3.5415213
4521,98.036674,53.164722,-10.203651,-10.884239,-8.129575,-63.15447,-93.58827,-86.090416,3.5170321,-58.255955,-44.370754,-2.308893,-129.53987,1.1464498,1.9473805,58.275673,-4.061182,-1.4186336,97.935455,7.6548824,12.1265,39.181934,-20.550722,-4.3623514,-164.26472,53.558567,8.9426,-107.59093,53.951225,3.5390952
4542,98.97012,50.02586,-11.321151,-11.108364,-9.96186,-62.763813,-93.5947,-86.08824,3.5277472,-58.22752,-44.36681,-2.330275,-129.5396,1.1587394,1.9377064,58.27559,-4.0516734,-1.4213502,97.92451,7.6173844,12.094176,39.182056,-20.557198,-4.3644776,-164.26738,53.552563,8.942359,-107.59375,53.92577,3.5394552
4602,110.058304,24.938593,-18.175152,-14.041718,-19.13122,-59.442562,-93.63521,-86.07591,3.56348,-58.127853,-44.31343,-2.4155557,-129.53229,1.1868957,1.9434468,58.291176,-4.129514,-1.4252889,97.91033,7.4313354,11.990469,39.195652,-20.670046,-4.38513,-164.27168,53.54213,8.925599,-107.6183,53.751835,3.5817025
4621,114.86803,15.163119,-18.225407,-13.873365,-20.847912,-57.758858,-93.634575,-86.09069,3.567751,-58.115112,-44.322937,-2.4702952,-129.53221,1.1898791,1.9371206,58.302948,-4.126087,-1.4317746,97.88836,7.3360934,11.944691,39.218994,-20.772745,-4.412401,-164.2731,53.533207,8.924622,-107.60974,53.763847,3.5736454
4665,121.56196,7.4195037,-20.96326,-17.513449,-26.724676,-52.396786,-93.63521,-86.07591,3.56348,-58.143177,-44.2937,-2.4600165,-129.53165,1.2144607,1.9177736,58.278194,-3.9937208,-1.4534339,97.88811,7.319372,11.894488,39.210144,-20.754074,-4.420579,-164.27496,53.53326,8.89256,-107.63795,53.815212,3.5391605
4702,127.841805,-4.5788975,-25.65398,-20.019823,-33.001797,-48.614773,-93.65586,-86.023926,3.5862052,-58.12497,-44.22912,-2.4461808,-129.53111,1.2397571,1.9296892,58.265617,-3.9054723,-1.4680159,97.877625,7.2885876,11.837857,39.21145,-20.785904,-4.4372687,-164.37445,53.563446,8.942228,-107.680824,53.9095,3.436155
4745,134.0241,-10.835173,-29.303673,-19.566282,-34.574524,-48.22755,-93.67616,-86.01503,3.6039143,-58.094624,-44.198765,-2.4729495,-129.51505,1.2707607,1.9291316,58.265366,-3.8830507,-1.4795601,97.866135,7.1997805,11.768583,39.21434,-20.815891,-4.438755,-164.37343,53.565025,8.925951,-107.7091,53.84667,3.4337962
4782,132.75148,-7.946498,-28.870985,-17.05683,-31.148586,-50.06149,-93.67587,-86.0291,3.604612,-58.080147,-44.220196,-2.506644,-129.51497,1.273745,1.9228059,58.265385,-3.8891551,-1.4829537,97.85532,7.158457,11.721273,39.2158,-20.850565,-4.4428277,-164.37743,53.572395,8.933121,-107.70992,53.851284,3.4323473
4825,111.02528,21.36897,-22.91052,-14.92569,-21.453537,-54.896458,-93.68971,-85.99941,3.617618,-58.09435,-44.22261,-2.4462743,-129.49927,1.2894708,1.9382526,58.22532,-3.7319126,-1.5062253,97.85982,7.326523,11.729763,39.14887,-20.551418,-4.400782,-164.37602,53.58132,8.9340925,-107.67882,54.008427,3.4106414
4861,91.10423,51.55991,-13.849874,-12.377258,-8.688427,-59.67164,-93.710846,-85.9278,3.627048,-58.21616,-44.33034,-2.351513,-129.46832,1.2989557,1.9665369,58.167843,-3.6579602,-1.4949428,97.86348,7.4516277,11.721362,39.127445,-20.459808,-4.362568,-164.43314,53.647472,9.034269,-107.63879,54.30446,3.3157349
4905,81.986244,77.14842,-9.635685,-5.5819116,5.39263,-63.80804,-93.67103,-85.91212,3.5826485,-58.268295,-44.42787,-2.4022048,-129.49025,1.3046097,1.9222789,58.186687,-3.7145889,-1.4792494,97.83226,7.343784,11.659594,39.126038,-20.50572,-4.3606753,-164.41055,53.64742,9.073366,-107.59308,54.39065,3.3318846
4926,82.81806,80.188446,-8.058148,-4.368713,7.2307115,-63.715805,-93.66413,-85.93433,3.576738,-58.291416,-44.4567,-2.4313526,-129.49864,1.3137054,1.9032806,58.19855,-3.7267666,-1.4863741,97.820656,7.2716055,11.630519,39.14795,-20.623241,-4.4073715,-164.41898,53.654827,9.070445,-107.5856,54.385357,3.3400817
4985,107.3077,31.889952,-10.6127205,-11.50423,-12.956395,-57.726013,-93.6837,-85.94842,3.6028123,-58.17936,-44.358135,-2.5402622,-129.49797,1.3416308,1.8932455,58.186234,-3.7002935,-1.5193142,97.80397,6.997826,11.492441,39.179745,-20.85243,-4.458309,-164.42473,53.64007,9.03719,-107.6396,54.184547,3.3518968
5005,117.346,20.039034,-18.012138,-11.945447,-19.178259,-56.970543,-93.69035,-85.93604,3.608869,-58.07357,-44.26366,-2.5512264,-129.45818,1.360296,1.9182266,58.183784,-3.8097804,-1.5238266,97.80136,6.9057302,11.453081,39.20981,-20.939648,-4.467215,-164.43752,53.619316,8.993619,-107.648674,54.046707,3.3997989
5041,127.738235,5.228131,-34.467873,-10.076969,-24.287361,-56.14805,-93.70954,-85.980835,3.6291718,-58.030304,-44.25362,-2.684039,-129.44272,1.3630266,1.9120944,58.192516,-3.8316586,-1.528077,97.776855,6.699444,11.367067,39.22008,-21.039602,-4.49918,-164.44713,53.607353,8.98307,-107.66763,53.965527,3.4091866
5085,131.82011,3.2828171,-37.125156,-8.162303,-24.660727,-54.077995,-93.71701,-85.95584,3.6316671,-58.05837,-44.250843,-2.6953912,-129.45105,1.3754654,1.9024031,58.183628,-3.8029797,-1.5360516,97.76646,6.6490273,11.319466,39.22684,-21.07721,-4.51908,-164.44995,53.605854,8.967294,-107.66472,54.00487,3.3980863
