millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2,F0,F1,F2,G0,G1,G2
5883,2.3717413,-1.1458685,-44.179165,159.88425,-5.461015,-11.681551,135.8027,9.816245,7.772994,-60.742603,17.38075,-25.320097,94.230736,1.9559729,2.3923976,-101.54284,2.114783,-4.024561,-48.220036,-24.46041,3.3248825
5895,2.382083,-1.1470804,-44.179344,159.89677,-5.466128,-11.680559,135.8027,9.816245,7.772994,-60.733303,17.380764,-25.325554,94.23109,1.95616,2.3924232,-101.55261,2.1146746,-4.024817,-48.18172,-24.471567,3.3283617
5907,2.3924246,-1.1482922,-44.179523,159.91129,-5.464832,-11.6814785,135.79445,9.81647,7.7722583,-60.71997,17.382633,-25.323376,94.22156,1.9563725,2.3922617,-101.56149,2.1143103,-4.0249643,-48.14353,-24.47919,3.3229384
5920,2.405396,-1.1430298,-44.17955,159.92467,-5.463088,-11.68176,135.79344,9.822946,7.7695765,-60.704025,17.380726,-25.327269,94.21168,1.9563984,2.3920746,-101.56061,2.1140552,-4.024856,-48.118153,-24.493574,3.322115
5931,2.4157372,-1.1442416,-44.179726,159.93832,-5.468648,-11.681408,135.78705,9.823901,7.7690473,-60.700684,17.382622,-25.326962,94.20215,1.9566112,2.3919134,-101.570366,2.109531,-4.019706,-48.08021,-24.507454,3.3192356
5943,2.4328866,-1.1427834,-44.18256,159.95284,-5.4673514,-11.682327,135.78705,9.823901,7.7690473,-60.68472,17.380716,-25.330854,94.19262,1.9568238,2.391752,-101.5793,2.1145847,-4.0154247,-48.054535,-24.51557,3.3158422
5956,2.4458592,-1.1375204,-44.182583,159.9662,-5.465607,-11.682608,135.78705,9.823901,7.7690473,-60.671852,17.377007,-25.325775,94.19297,1.9570105,2.3917773,-101.58907,2.1144764,-4.01568,-48.016575,-24.52945,3.3129482
5972,2.4562013,-1.138732,-44.182762,159.98073,-5.46431,-11.683527,135.77881,9.824127,7.7683096,-60.668503,17.378904,-25.325464,94.18309,1.9570363,2.3915906,-101.59794,2.1141126,-4.015827,-47.98667,-24.544607,3.3107917
5985,2.4665432,-1.139943,-44.182938,159.99438,-5.46987,-11.683179,135.7778,9.830603,7.765628,-60.652546,17.377,-25.329361,94.17356,1.9572484,2.3914287,-101.59705,2.1138582,-4.015719,-47.952732,-24.554989,3.3155208
5995,2.476885,-1.1411543,-44.18312,160.00777,-5.468127,-11.683457,135.7778,9.830603,7.765628,-60.645844,17.380789,-25.328743,94.164024,1.9574611,2.391267,-101.60682,2.1137497,-4.0159745,-47.914455,-24.562597,3.3100553
6005,2.4872265,-1.1423655,-44.1833,160.01501,-5.467478,-11.683918,135.76953,9.830827,7.76489,-60.629887,17.378887,-25.332638,94.154495,1.9576734,2.3911057,-101.615685,2.1133862,-4.016122,-47.884502,-24.577755,3.3078744
6018,2.497568,-1.1435764,-44.18348,160.02867,-5.4730372,-11.683573,135.77141,9.831559,7.7650967,-60.616554,17.380754,-25.330458,94.14495,1.9578861,2.390944,-101.62459,2.1174352,-4.0216765,-47.85097,-24.590847,3.3062437
6029,2.5105395,-1.1383137,-44.183502,160.04204,-5.471293,-11.683852,135.77141,9.831559,7.7650967,-60.6132,17.382648,-25.330149,94.13508,1.9579116,2.3907568,-101.62459,2.1174352,-4.0216765,-47.82099,-24.606005,3.3040454
6042,2.5212827,-1.1398118,-44.1772,160.05655,-5.4699955,-11.684772,135.76314,9.831783,7.764359,-60.597233,17.380747,-25.334044,94.135414,1.9580984,2.390782,-101.63345,2.1170712,-4.0218234,-47.782234,-24.610897,3.304895
6055,2.5316248,-1.1410235,-44.177387,160.07104,-5.4686975,-11.685691,135.76314,9.831783,7.764359,-60.584362,17.377031,-25.32896,94.125885,1.958311,2.3906202,-101.64327,2.1223822,-4.0176535,-47.75672,-24.62527,3.3039892
6066,2.541967,-1.1422354,-44.177567,160.08444,-5.4669533,-11.685968,135.7536,9.841012,7.76735,-60.575012,17.377056,-25.334423,94.116,1.9532166,2.3952017,-101.65215,2.1220188,-4.017802,-47.71837,-24.632868,3.2984867
6079,2.552309,-1.1434469,-44.177746,160.09828,-5.4713874,-11.678791,135.75548,9.841745,7.767556,-60.56168,17.378925,-25.33224,94.10646,1.9534292,2.3950405,-101.65126,2.1217635,-4.017694,-47.69284,-24.647243,3.297567
6091,2.5626504,-1.1446588,-44.17793,160.11278,-5.47009,-11.67971,135.75548,9.841745,7.767556,-60.548344,17.380789,-25.33006,94.09692,1.9536417,2.394879,-101.661026,2.1216552,-4.017949,-47.654743,-24.661106,3.2945836
6105,2.576031,-1.1396878,-44.171463,160.12616,-5.468345,-11.679988,135.74721,9.84197,7.7668185,-60.542355,17.378918,-25.335825,94.09726,1.9538287,2.3949046,-101.66989,2.1212916,-4.018097,-47.6244,-24.669985,3.2898064
6115,2.5863738,-1.1409004,-44.171646,160.1398,-5.4739065,-11.679647,135.74721,9.84197,7.7668185,-60.529022,17.380785,-25.333643,94.08738,1.9538544,2.3947177,-101.67966,2.121183,-4.0183525,-47.59034,-24.68037,3.2944646
6128,2.5967162,-1.1421129,-44.17183,160.1543,-5.4726086,-11.680566,135.74721,9.84197,7.7668185,-60.512318,17.384542,-25.33115,94.07783,1.9540676,2.3945565,-101.67871,2.1155066,-4.022669,-47.551937,-24.687954,3.2889328
6140,2.6070585,-1.1433252,-44.17201,160.16768,-5.4708643,-11.680843,135.73895,9.842194,7.7660804,-60.50678,17.377094,-25.334023,94.06829,1.9542799,2.3943946,-101.687584,2.1151426,-4.0228157,-47.521816,-24.703104,3.2866623
6152,2.617751,-1.144493,-44.174828,160.18217,-5.4695654,-11.68176,135.73895,9.842194,7.7660804,-60.493446,17.37896,-25.33184,94.058754,1.9544926,2.394233,-101.69734,2.1150336,-4.023071,-47.48791,-24.709904,3.2824342
6221,3.4612074,-1.3355227,-44.105007,160.26521,-5.4746,-11.683478,135.65607,9.860997,7.7910385,-60.122322,17.367945,-25.299923,93.82883,1.9639863,2.3953974,-101.73288,2.1234074,-4.024649,-46.51438,-25.047686,3.1601207
6250,3.5167313,-1.9278961,-44.712498,160.68747,-5.9400206,-10.707846,135.57098,9.710858,7.7868185,-59.989414,17.264956,-25.061111,93.819466,1.9760461,2.4896197,-101.923325,2.131526,-4.0794516,-46.304207,-24.605381,2.7910223
6263,3.076528,-2.5509946,-45.960533,160.4486,-5.3173375,-10.436713,135.56012,9.720537,7.7149334,-59.98619,17.317467,-25.188295,93.771324,1.9721801,2.4836752,-101.8952,2.059455,-4.1111984,-46.25112,-24.156445,2.9343655
6275,2.828468,-2.9168181,-45.69439,160.93674,-3.7027833,-11.302026,135.59291,9.910065,7.655141,-59.799656,17.313713,-25.241486,93.78127,1.9686939,2.4392376,-101.88557,1.970334,-4.111858,-46.089478,-23.694494,2.9101276
6288,3.6885355,-2.7109315,-42.514996,161.69543,-1.7283356,-12.403093,135.59673,9.9015465,7.689052,-59.749687,17.293127,-25.2443,93.78097,1.9736104,2.434428,-101.85799,1.952561,-4.0995035,-46.10794,-23.529028,2.7832868
6300,4.0051956,-2.9168813,-40.145054,162.13242,-0.2500946,-12.951441,135.72073,9.950297,7.639176,-59.620117,17.375647,-25.329187,93.77137,1.9636153,2.4438317,-101.82956,1.8838971,-4.146568,-46.185474,-23.500095,2.8058212
6316,3.7978444,-3.6127534,-38.676964,162.6342,1.4575212,-13.6683445,135.72748,10.083236,7.653693,-59.475475,17.402136,-25.390867,93.81925,1.9447682,2.3847141,-101.77607,1.864436,-4.163489,-46.24741,-23.393715,2.723335
6325,3.4157975,-4.5380282,-36.8803,163.21281,3.5523124,-14.525207,135.77481,10.223725,7.585568,-59.324226,17.421194,-25.438805,93.91521,1.967714,2.382226,-101.69515,1.9361212,-4.1690354,-46.13093,-23.074953,2.672713
