millis,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2,E0,E1,E2
3178,3.6090248,4.010414,32.654835,105.73198,-18.77595,6.008623,-10.537327,2.1285074,11.867793,112.67636,15.09499,-20.368341,132.00932,7.7650094,4.663085
3188,13.881913,-3.3513346,-2.3790014,105.73198,-18.77595,6.008623,-10.537532,2.1278949,11.860869,112.67636,15.09499,-20.368341,132.00932,7.7650094,4.663085
3199,14.10932,20.500635,-2.3548806,105.73198,-18.77595,6.008623,-10.537327,2.1285074,11.867793,112.67636,15.09499,-20.368341,132.00932,7.7650094,4.663085
3209,17.408096,27.233305,-39.08681,105.73198,-18.77595,6.008623,-10.537532,2.1278949,11.860869,112.67636,15.09499,-20.368341,132.00932,7.7650094,4.663085
3218,1.7220324,5.9301257,-62.363804,105.73198,-18.77595,6.008623,-10.537532,2.1278949,11.860869,112.67636,15.09499,-20.368341,132.00932,7.7650094,4.663085
3228,3.7819965,14.969795,-50.776546,105.73198,-18.77595,6.008623,-10.544136,2.1292162,11.867595,112.67574,15.098981,-20.362442,132.00932,7.7650094,4.663085
3239,4.1662903,0.68847024,-47.1062,105.73198,-18.77595,6.008623,-10.544136,2.1292162,11.867595,112.67574,15.098981,-20.362442,132.0101,7.75862,4.665947
3249,5.639163,8.349241,-21.295067,105.73198,-18.77595,6.008623,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.0101,7.75862,4.665947
3259,4.6277905,-0.6367689,-31.64556,105.73198,-18.77595,6.008623,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.0101,7.75862,4.665947
3268,4.404845,-0.047746323,-38.534584,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.0101,7.75862,4.665947
3279,9.25665,19.595276,-49.93983,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.00932,7.7650094,4.663085
3288,9.737563,16.169819,-71.291214,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.00932,7.7650094,4.663085
3299,9.764974,14.908234,-64.974625,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.00911,7.767801,4.669442
3309,-5.2912836,6.0599427,42.005955,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.00932,7.7650094,4.663085
3319,-0.1846372,2.0679014,54.19339,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.0101,7.75862,4.665947
3328,0.800023,-8.301597,64.63887,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.0101,7.75862,4.665947
3338,4.801677,8.626148,-75.28271,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.0101,7.75862,4.665947
3349,-0.22308204,2.3537068,54.44061,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.0101,7.75862,4.665947
3359,4.574981,-1.5334494,-60.946384,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.0101,7.75862,4.665947
3369,-1.4204929,-2.862562,-75.341415,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.0101,7.75862,4.665947
3379,-0.4492552,-11.202787,50.417725,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.0101,7.75862,4.665947
3388,11.499988,-10.408614,1.5554175,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.0101,7.75862,4.665947
3399,-4.957148,-19.101671,48.581375,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.012,7.7591686,4.666013
3409,5.771245,-24.859318,27.23255,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.012,7.7591686,4.666013
3421,-7.633365,-7.962769,55.309456,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.012,7.7591686,4.666013
3428,-8.888547,8.249448,36.943302,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.012,7.7591686,4.666013
3439,-17.007519,-1.0712955,36.217323,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.012,7.7591686,4.666013
3448,-6.430861,-5.1487517,41.003616,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.012,7.7591686,4.666013
3459,-30.369469,-16.918707,-5.5906787,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.012,7.7591686,4.666013
3469,-91.310295,-7.589911,-79.24137,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.012,7.7591686,4.666013
3477,-7.355474,2.2279258,4.4523454,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.012,7.7591686,4.666013
3489,-27.25608,-41.8964,-9.732538,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.012,7.7591686,4.666013
3499,-173.98491,-59.2926,-30.330318,105.73085,-18.775265,6.0076594,-10.544136,2.1292162,11.867595,112.67636,15.09499,-20.368341,132.012,7.7591686,4.666013
